name,Result,gpa,lsat,urm,we,day_sent,Sent,complete,UR,JJ,Decision,accepted,we_0,we_1_4,we_5_9,we_10,we_B
49,"WL, Withdrawn",3.7,180,0,0 years (KJD),40,10/25/2020,10/30/2020,,,2/26/2021,0,1,0,0,0,0
40415,Rejected,3.82,171,0,1-4 years,,,10/28/2020,,,1/14/2021,0,0,1,0,0,1
651591,"WL, Rejected",3.81,180,0,1-4 years,14,9/29/2020,10/8/2020,,,6/3/2021,0,0,1,0,0,1
38402267,Waitlisted,4,175,0,5-9 years,,,,,,,0,0,0,1,0,1
235711317,"Accepted, Attending",3.98,174,0,5-9 years,0,9/15/2020,,,,1/11/2021,1,0,0,1,0,1
000eee0,Rejected,3.96,170,0,1-4 years,69,11/23/2020,12/4/2020,,,3/15/2021,0,0,1,0,0,1
1v1meinRust,Rejected,3.4,176,1,1-4 years,7,9/22/2020,9/30/2020,,,2/9/2021,0,0,1,0,0,1
2020admissionspain,Rejected,3.71,173,0,1-4 years,43,10/28/2020,,,,,0,0,1,0,0,1
2020applicant123,Accepted,3.88,174,0,1-4 years,,,10/14/2020,,12/10/2020,1/11/2021,1,0,1,0,0,1
2021hopeful,Waitlisted,3.95,173,0,1-4 years,,,,,,,0,0,1,0,0,1
30kft21,Waitlisted,3.3,177,0,5-9 years,,,10/28/2020,,,3/5/2021,0,0,0,1,0,1
372US335,"WL, Rejected",3.98,173,0,1-4 years,94,12/18/2020,1/6/2021,1/7/2021,,3/12/2021,0,0,1,0,0,1
3BabyArugula3,Rejected - FW,3.96,166,1,1-4 years,100,12/24/2020,1/7/2021,,,2/9/2021,0,0,1,0,0,1
5440orfight,Rejected,3.68,172,0,1-4 years,8,9/23/2020,10/1/2020,,,1/14/2021,0,0,1,0,0,1
Aarnav511,Rejected,3.84,170,0,0 years (KJD),,,,,,1/14/2021,0,1,0,0,0,0
AB12342,Rejected,3.82,165,0,0 years (KJD),33,10/18/2020,,,,1/14/2021,0,1,0,0,0,0
ABakerIGuess,Rejected,3.2,169,0,1-4 years,,,,,,1/14/2021,0,0,1,0,0,1
AbnormalFluffyRussel,Rejected,,176,0,1-4 years,83,12/7/2020,12/10/2020,,,,0,0,1,0,0,1
AboardStrongCichlid,Rejected,3.62,176,0,1-4 years,86,12/10/2020,12/14/2020,,,3/16/2021,0,0,1,0,0,1
Abracadabra2,Waitlisted,3.92,176,0,0 years (KJD),,,,,,,0,1,0,0,0,0
AbsorbedDisillusionedBarnacle,Rejected,3.64,170,0,1-4 years,75,11/29/2020,12/10/2020,,,2/9/2021,0,0,1,0,0,1
AbsorbingJaggedManatee,"WL, Withdrawn",4.03,173,0,5-9 years,39,10/24/2020,10/28/2020,10/28/2020,11/12/2020,2/17/2021,0,0,0,1,0,1
AbstractedAnimatedMarkhor,Rejected,3.93,172,0,0 years (KJD),106,12/30/2020,1/13/2021,,,3/15/2021,0,1,0,0,0,0
AbuEllie,Rejected,2.86,171,1,10+ years,61,11/15/2020,11/20/2020,,,1/14/2021,0,0,0,0,1,1
AbundantGustyBoar,Rejected,3.66,177,0,1-4 years,,,,,,,0,0,1,0,0,1
AbundantSecretiveSpaniel,Accepted,3.99,170,0,1-4 years,,,,,,,1,0,1,0,0,1
AC238,Rejected,3.79,176,0,0 years (KJD),71,11/25/2020,12/2/2020,,,1/14/2021,0,1,0,0,0,0
AcceptableDapperAxolotl,Rejected,3.5,,0,5-9 years,155,2/17/2021,2/24/2021,,,,0,0,0,1,0,1
AcceptMeOrDont,Rejected,3.74,162,1,1-4 years,42,10/27/2020,11/30/2020,,,1/14/2021,0,0,1,0,0,1
AccessibleLittleNightingale,Waitlisted,3.55,169,1,1-4 years,26,10/11/2020,10/13/2020,,,,0,0,1,0,0,1
AccurateHospitableLion,Rejected,,160,1,1-4 years,,,,,,,0,0,1,0,0,1
AccurateMomentousWildebeest,Rejected,3.95,171,0,0 years (KJD),10,9/25/2020,10/1/2020,,,2/9/2021,0,1,0,0,0,0
AcidAbleReindeer,Accepted,3.78,172,1,?,,,,,,,1,,,,,
AcidicGoose,Rejected,3.95,173,0,0 years (KJD),46,10/31/2020,11/5/2020,,,1/14/2021,0,1,0,0,0,0
AcidicSelectiveAlbatross,Rejected,2.88,152,1,1-4 years,22,10/7/2020,10/14/2020,,,1/14/2021,0,0,1,0,0,1
aclawschool2020,Rejected,4,169,0,1-4 years,49,11/3/2020,11/10/2020,,,3/2/2021,0,0,1,0,0,1
ACM,Waitlisted,3.76,164,0,1-4 years,,,,,,,0,0,1,0,0,1
AcousticInconclusiveFrog,"WL, Withdrawn",4.04,167,1,0 years (KJD),0,9/15/2020,,,,3/5/2021,0,1,0,0,0,0
AcousticPricklyBaboon,Rejected,3.97,,0,1-4 years,156,2/18/2021,,,,,0,0,1,0,0,1
AcousticWindyBong,Rejected - FW,2.91,157,1,1-4 years,111,1/4/2021,1/14/2021,1/15/2021,,2/9/2021,0,0,1,0,0,1
AdamF17,"WL, Withdrawn",3.71,176,0,1-4 years,,,,,,,0,0,1,0,0,1
AdaptableNewTang,Accepted - IS,3.86,173,0,1-4 years,,,11/13/2020,,3/25/2021,,1,0,1,0,0,1
Addison,Rejected,3.89,173,0,?,0,9/15/2020,,,,1/14/2021,0,,,,,
